Type,Title,Organization,Status,Availability or Year,Geography,Covered States,Coverage Note,Coverage Source URL,Community,Community Type,Best For,Project Stage,Type of Help,Topics,Summary,Amount or Cost,Match or Cost,Official URL,Last Checked,Record ID
Funding,Our Town,National Endowments for the Arts,Recurring,Check with the program,United States,,,,,,"Nonprofit, tax-exempt 501(c)(3), U.S. organizations; Units of state or local government; or Federally recognized tribal communities or tribes.",Planning,Grant,Economic Development; Planning; Historic/Cultural,"Support creative placemaking projects that integrate arts, culture, and design in efforts to advance local economic, physical, and other community-desired outcomes.","$10,000 to $100,000","Yes, 50%",https://www.arts.gov/grants/our-town,2026-06-09,RERC-FND-0539
Funding,Recreational Trails Program,U.S. Department of Transportation Federal Highway Administration,Recurring,Check with the program,United States,,,,,,States,Construction,Grant,Infrastructure; Recreation; Energy/Climate,To the States to develop and maintain recreational trails and trail-related facilities for both nonmotorized and motorized recreational trail uses.,See program,See program,https://www.fhwa.dot.gov/environment/recreational_trails,2026-06-09,RERC-FND-0540
Funding,Transportation Alternatives Set-Aside,U.S. Department of Transportation Federal Highway Administration,Recurring,Check with the program,United States,,,,,,States and regional transportation planning agencies,Planning,Grant,Infrastructure; Recreation; Planning; Conservation; Historic/Cultural; Energy/Climate,"Supports smaller transportation projects such as walking and biking facilities, recreational trails, safe routes to school, historic preservation, environmental work, overlooks, and safety studies.",See program,See program,https://www.fhwa.dot.gov/environment/transportation_alternatives,2026-06-09,RERC-FND-0541
Funding,Brownfields Program,U.S. Environmental Protection Agency,Recurring,Check with the program,United States,,,,,,Eligibility varies by opportunity; review the current program page.,Cleanup,Grant,Brownfields,"To help assess, clean up and sustainably reuse brownfield sites across the country.",Varies by grant,varies by grant,https://www.epa.gov/brownfields,2026-06-09,RERC-FND-0534
Funding,Clean Water State Revolving Fund,U.S. Environmental Protection Agency,Recurring,Check with the program,United States,,,,,,Eligibility varies by opportunity; review the current program page.,Construction,Loan,Infrastructure; Conservation; Energy/Climate,"Provides low-cost financing to communities for a wide range of water quality infrastructure projects, including municipal wastewater facilities, nonpoint source pollution control, decentralized wastewater treatment systems, stormwater runoff mitigation, green infrastructure, estuary protection, and water reuse.",Revolving Fund,See program,https://www.epa.gov/cwsrf,2026-06-09,RERC-FND-0536
Funding,Forest Legacy Program,USDA Forest Service,Recurring,Check with the program,United States,,,,,,landowners,Mixed,Grant,Conservation,To encourage the protection of privately owned forest lands through conservation easements or land purchases.,See program,See program,https://www.fs.usda.gov/managing-land/private-land/forest-legacy,2026-06-09,RERC-FND-0537
Funding,USDA Forest Service - Urban and Community Forestry Program,USDA Forest Service,Recurring,The program manages several funding opportunities. The Community Tree Resource Utilization notice is pending release.,United States,,,,,,"State and local agencies, universities, and nonprofit organizations",Planning; implementation; operations and maintenance,Grant and Technical Assistance,urban forestry; community forestry; tree canopy; green space; workforce; resilience,"Provides information, tools, technical support, and funding that help communities maintain, restore, and improve trees, forests, and green spaces.",See program,See program,https://www.fs.usda.gov/managing-land/urban-forests/ucf,2026-06-23,RERC-FND-0542
Funding,Blue Sky Community Project Funding,Rocky Mountain Power,Open when checked,rolling 2026 review; awards committee monthly,Utah,,,,,,non-residential community-serving sites served by Rocky Mountain Power,Mixed,Grant,renewable energy; community facilities; operating cost reduction,"Can reduce energy costs and fund renewable systems for rural visitor centers, libraries, parks facilities, and community hubs.",varies,Not stated,https://www.rockymountainpower.net/community/blue-sky-projects/funding-applications.html,2026-06-09,RERC-FND-0543
Funding,LeRay McAllister Working Farm and Ranch Fund,Utah Department of Agriculture and Food,Open when checked,ongoing registration and application portal,Utah,,,,,,landowners working with qualified entities such as land trusts,Mixed,Grant,working lands; land trust; conservation; scenic landscapes,"Protects working landscapes and scenic rural character that underpin outdoor recreation, agritourism, and gateway-community identity.",varies,leveraged funding emphasized; exact match varies,https://ag.utah.gov/conservation/leray-mcallister-working-farm-and-ranch-fund,2026-06-09,RERC-FND-0546
Funding,Community Parks and Recreation Grant,Utah Division of Outdoor Recreation,Recurring,2026 cycle Jan 12 to Mar 13 2026,Utah,,,,,,Local governments; tribes; nonprofits; agencies,Construction,Grant,parks; sports facilities; community recreation,Improves local recreation amenities for residents and visitors in rural towns.,"$5,000 to $200,000",Match varies; verify guide,https://recreation.utah.gov/grants,2026-06-09,RERC-FND-0544
Funding,Land and Water Conservation Fund,Utah Division of Outdoor Recreation,Recurring,2026 application dates not yet posted,Utah,,,,,,Political subdivisions; sovereign Indian Nations,Mixed,Grant,parks; outdoor recreation; public access,Helps small communities build durable public recreation assets.,"$200,000 to $2,000,000",50 percent match,https://recreation.utah.gov/grants/land-water-conservation-fund,2026-06-09,RERC-FND-0545
Funding,OHV Year-Round Land Acquisition Grant,Utah Division of Outdoor Recreation,Open when checked,Year-round,Utah,,,,,,Federal; tribal; state; political subdivisions; OHV nonprofits with partners,Acquisition,Grant,OHV; land acquisition; trail access,Supports motorized recreation access important to many rural Utah gateway economies.,"$10,000 to $1,000,000",Matching grant; ratio varies,https://recreation.utah.gov/grants/year-round-ohv-land-acquisition-grant,2026-06-09,RERC-FND-0547
Funding,Outdoor Recreation Planning Assistance,Utah Division of Outdoor Recreation,Available,2026 cycle Apr 6 to May 15 2026,Utah,,,,,,Municipalities; counties; tribes; nonprofits; agencies,Mixed,Grant,recreation planning; feasibility; design,Fits RERC communities that need plans before construction grants.,"Up to $200,000",None,https://recreation.utah.gov/grants/planning-assistance,2026-06-09,RERC-FND-0654
Funding,Recreation Restoration Infrastructure Grant,Utah Division of Outdoor Recreation,Recurring,2026 cycle Jan 12 to Mar 13 2026,Utah,,,,,,Local governments; tribes; nonprofits; agencies,Mixed,Grant,trail restoration; high-use recreation; infrastructure repair,Helps recreation gateway areas repair overused assets before visitor impacts grow.,"Up to $250,000",Match varies; verify guide,https://recreation.utah.gov/grants,2026-06-09,RERC-FND-0548
Funding,Recreational Trails Program,Utah Division of Outdoor Recreation,Recurring,2026 cycle listed on program information,Utah,,,,,,Government entities; nonprofits; tribal entities; partners,Mixed,Grant,trails; trailheads; outdoor access,Funds trail networks that drive rural outdoor recreation visitation.,"$10,000 to $200,000",Match required; verify guide,https://recreation.utah.gov/grants/recreational-trails-program,2026-06-09,RERC-FND-0549
Funding,Utah Outdoor Recreation Grant,Utah Division of Outdoor Recreation,Cycle closed,2026 cycle closed Mar 13 2026,Utah,,,,,,Municipalities; counties; tribes; nonprofits; agencies,Mixed,Grant,outdoor recreation; trails; parks; access,Core state capital source for rural outdoor recreation infrastructure.,Varies by tier; verify 2026 guide,Match varies by category,https://recreation.utah.gov/grants/utah-outdoor-recreation-grant,2026-06-09,RERC-FND-0552
Funding,Rural Communities Opportunity Grant,Utah Governor's Office of Economic Opportunity,Open when checked,"opens Sep. 14; closes Oct. 30, 2026",Utah,,,,,,rural counties; eligible cities; towns; metro townships; associations of governments,Mixed,Grant,rural economic development; business expansion; workforce; infrastructure,"Supports unique rural economic development projects that can include recreation-economy infrastructure, workforce, and business activity.",not stated on program information,match required based on population,https://business.utah.gov/rural/rcog,2026-06-09,RERC-FND-0550
Funding,Rural County Grant,Utah Governor's Office of Economic Opportunity,Open when checked,Opens Jul 1 2026; closes Sep 1 2026,Utah,,,,,,Rural counties; eligible class 3 through 6 counties except Washington,Implementation,Grant,rural business; tourism; infrastructure; planning,Flexible rural funding can support recreation economy projects and capacity.,"Up to $200,000 annually",Match not clearly stated on page,https://business.utah.gov/rural/rural-county-grant,2026-06-09,RERC-FND-0551
Funding,Tiny Grants,Association of Vermont Conservation Commissions,Recurring,"2026 awards announced May 20; grant period May 1, 2026-May 1, 2027",Vermont,,,,,,Vermont conservation commissions or groups working to become commissions; AVCC members,Mixed,Grant,land conservation; stewardship; planning; outreach,"Small local conservation funds can unlock town forest, trail, mapping, and stewardship work.","2026 total $5,956.47",seed or matching funds,https://vtconservation.com/tiny-grants,2026-06-09,RERC-FND-0568
Funding,Rebates for Your Business,Efficiency Vermont,Open when checked,2026 offers subject to change,Vermont,,,,,,"Businesses, nonprofits, public facilities, institutions",Mixed,Rebate,"lighting, HVAC, refrigeration, commercial kitchen, lodging","Tourism-heavy rural towns can cut operating costs for inns, restaurants, stores, and municipal assets.",Measure-specific 2026 rebates,Customer pays remaining cost,https://www.efficiencyvermont.com/Media/Default/docs/trade-partners/technical-resources/EVT%20Business%20Offerings%202026%20Final.pdf,2026-06-09,RERC-FND-0565
Funding,Better Places Program,Vermont Agency of Commerce and Community Development,Recurring,Check with the program,Vermont,,,,,,"Municipalities, local community groups, and nonprofit entities with municipal support",Planning,Grant,Economic Development; Planning; Historic/Cultural; Energy/Climate,"Advance community-led placemaking efforts that create, revitalize, or activate public spaces in designated downtowns and village centers.",$5K-$40K,"Yes, 2:1 match (crowdfunding)",https://accd.vermont.gov/community-development/funding-incentives,2026-06-09,RERC-FND-0553
Funding,Brownfields Revitalization Fund,Vermont Agency of Commerce and Community Development,Recurring,Check with the program,Vermont,,,,,,"Non-profits, for-profit entities, and municipalities with sites in Vermont",Construction,Grant,Economic Development; Brownfields; Energy/Climate,Characterize and clean up brownfield sites to support redevelopment and economic reuse.,Up to $200K (grants); no loan limit,"Yes, 10%",https://accd.vermont.gov/community-development/funding-incentives,2026-06-09,RERC-FND-0554
Funding,Downtown Transportation Fund,Vermont Agency of Commerce and Community Development,Recurring,Check with the program,Vermont,,,,,,Municipalities with state-designated downtowns or eligible village centers,Planning,Grant,Infrastructure; Economic Development; Planning; Energy/Climate,Fund transportation-related capital improvements within or serving designated downtowns and village centers.,See program,See program,https://accd.vermont.gov/community-development/funding-incentives,2026-06-09,RERC-FND-0557
Funding,Downtown and Village Center Tax Credits,Vermont Agency of Commerce and Community Development,Recurring,Check with the program,Vermont,,,,,,Owners of qualifying buildings in Vermont's designated downtowns and village centers,Planning,Rebate,Economic Development; Planning; Historic/Cultural; Energy/Climate,Encourage investment in historic downtown buildings through state tax credit incentives.,See program,See program,https://accd.vermont.gov/community-development/funding-incentives,2026-06-09,RERC-FND-0558
Funding,Historic Preservation Grants,Vermont Agency of Commerce and Community Development,Recurring,Check with the program,Vermont,,,,,,"Municipalities, nonprofits, and property owners of qualifying historic structures",Construction,Grant,Historic/Cultural; Energy/Climate,Support preservation and rehabilitation of historic buildings and structures across Vermont.,See program,See program,https://accd.vermont.gov/community-development/funding-incentives,2026-06-09,RERC-FND-0561
Funding,Investment Capital,Vermont Agency of Commerce and Community Development,Recurring,Check with the program,Vermont,,,,,,"Businesses, municipalities, and development organizations",Construction,Financing,Economic Development; Energy/Climate,Provide capital investment support for economic development and community growth initiatives in Vermont.,See program,See program,https://accd.vermont.gov/community-development/funding-incentives,2026-06-09,RERC-FND-0562
Funding,Municipal Planning Grant,Vermont Agency of Commerce and Community Development,Recurring,Check with the program,Vermont,,,,,,Vermont municipalities,Planning,Grant,Planning; Energy/Climate,"Help municipalities plan for future growth and development including town plans, zoning bylaws, and community revitalization strategies.",Up to $30K,"Yes, 10%",https://accd.vermont.gov/community-development/funding-incentives,2026-06-09,RERC-FND-0564
Funding,Vermont Better Connections Grant,Vermont Agency of Commerce and Community Development,Recurring,Check with the program,Vermont,,,,,,Municipalities and regional planning commissions in Vermont,Planning,Grant,Infrastructure; Planning; Conservation; Energy/Climate,Fund planning projects that align land use planning and community revitalization with transportation investments.,See program,See program,https://accd.vermont.gov/community-development/funding-incentives,2026-06-09,RERC-FND-0570
Funding,Vermont State Brownfield Grants,Vermont Agency of Commerce and Community Development,Recurring,Check with the program,Vermont,,,,,,"Non-profits, for-profit entities, and municipalities with brownfield sites in Vermont",Construction,Grant,Brownfields; Energy/Climate,Fund assessment and cleanup of contaminated brownfield sites to facilitate redevelopment across Vermont.,Up to $200K (grants),"Yes, 10%",https://accd.vermont.gov/community-development/funding-incentives,2026-06-09,RERC-FND-0573
Funding,Funding Opportunities,Vermont Department of Environmental Conservation,Recurring,Check with the program,Vermont,,,,,,"Municipalities, nonprofits, businesses, and landowners",Mixed,Grant,Infrastructure; Economic Development; Conservation; Energy/Climate,"Support environmental protection, water quality, clean energy, and pollution prevention projects across Vermont.",See program,See program,https://dec.vermont.gov/water-investment/water-financing,2026-06-09,RERC-FND-0559
Funding,Land and Water Conservation Fund,"Vermont Department of Forests, Parks and Recreation",Recurring,Check with the program,Vermont,,,,,,State agencies and local governments,Construction,Grant,Infrastructure; Recreation; Conservation; Energy/Climate,"Develop public outdoor recreation opportunities including parks, open spaces, and recreation facilities.",See program,"Yes, 50%",https://fpr.vermont.gov/recreation/recreation-grants,2026-06-09,RERC-FND-0563
Funding,Recreation Trails Program,"Vermont Department of Forests, Parks and Recreation",Recurring,Check with the program,Vermont,,,,,,"Municipalities, nonprofits, and other governmental entities",Construction,Grant,Recreation; Conservation; Energy/Climate,Fund development and restoration of public recreational trails for motorized and nonmotorized use.,Up to $50K,"Yes, 20%",https://www.fhwa.dot.gov/environment/recreational_trails,2026-06-09,RERC-FND-0566
Funding,The Enhancement of Recreation Stewardship and Access Trails Grants,"Vermont Department of Forests, Parks and Recreation",Recurring,Check with the program,Vermont,,,,,,Municipalities and nonprofit organizations,Construction,Grant,Recreation; Conservation; Energy/Climate,Develop and restore public recreational trails and improve stewardship and community access to Vermont's outdoor recreation resources.,See program,See program,https://fpr.vermont.gov/recreation/recreation-grants,2026-06-09,RERC-FND-0567
Funding,VOREC Community Grant,"Vermont Department of Forests, Parks and Recreation",Recurring,Check with the program,Vermont,,,,,,Municipalities and nonprofit organizations,Mixed,Grant,Recreation; Economic Development; Conservation; Energy/Climate,Help Vermont communities leverage outdoor recreation assets for economic vitality and support the five pillars of the VOREC program.,$10K-$100K,See program,https://fpr.vermont.gov/recreation/recreation-grants,2026-06-09,RERC-FND-0569
Funding,Vermont Outdoor Recreation Economic Collaborative (VOREC) Grant,"Vermont Department of Forests, Parks and Recreation",Recurring,Check with the program,Vermont,,,,,,Vermont municipalities and nonprofit organizations,Mixed,Grant,Recreation; Economic Development; Conservation; Energy/Climate,Help communities leverage outdoor recreation assets for economic vitality and grow outdoor recreation-friendly communities.,$10K-$100K,See program,https://fpr.vermont.gov/recreation/recreation-grants,2026-06-09,RERC-FND-0572
Funding,Vermont Community Development Program,Vermont Department of Housing and Community Development,Recurring,Rolling or competitive by category; confirm current VCDP schedule,Vermont,,,,,,Municipalities as applicants; projects may benefit nonprofits and businesses,Mixed,Rebate,public facilities; economic development; housing; infrastructure,Funds core infrastructure and facilities that support rural recreation destinations.,Varies; state receives over $7 million annually,Match varies by project type,https://accd.vermont.gov/community-development/funding-incentives/vcdp,2026-06-09,RERC-FND-0571
Funding,Watershed Grants,Vermont Fish and Wildlife Department and Department of Environmental Conservation,Recurring,2026 applications accepted in winter cycle,Vermont,,,,,,Municipalities; local or regional government; sporting clubs; nonprofits; watershed groups,Mixed,Grant,water quality; paddling; fishing; lake access; education,Supports water-based recreation assets and stewardship in rural lake and river towns.,Amount varies; verify current application,Match not clearly stated in release,https://www.vtfishandwildlife.com/press-releases/watershed-grant-program-now-accepting-applications-1,2026-06-09,RERC-FND-0574
Funding,Conservation Programs,Vermont Housing and Conservation Board,Recurring,Funding decisions are made in recurring board cycles.,Vermont,,,,,,land trusts; government partners; conservation project sponsors,Mixed,Grant,land trust; working forest; farmland; natural areas,"Conserves farms, forests, and natural areas that support trails, scenic quality, rural character, and nature-based tourism.",varies,varies by project,https://vhcb.org/conservation,2026-07-13,RERC-FND-0556
Funding,Community Navigator Pilot Program,Vermont Small Business Development Center,Recurring,Check with the program,Vermont,,,,,,"Small businesses and entrepreneurs, particularly those in underserved communities",Construction,Grant,Economic Development; Energy/Climate,"Provide outreach, education, and connections to federal resources for small businesses and entrepreneurs.",See program,See program,https://www.vtsbdc.org/,2026-06-09,RERC-FND-0555
Funding,Communities Caring for Canopy Grants,Vermont Urban and Community Forestry Program,Available,call late summer; deadline early following year; 2026 grant page listed,Vermont,,,,,,Vermont municipalities and community partners,Mixed,Grant,community forestry; tree canopy; public spaces; stewardship,"Supports shaded village centers, parks, trailheads, and public spaces that improve visitor experience and climate resilience.",varies,None,https://vtcommunityforestry.org/municipal-assistance/financial-assistance,2026-06-09,RERC-FND-0655
Funding,Grants Program,Windham Foundation,Open when checked,"Mar. 15 and Sep. 15, 2026",Vermont,,,,,,nonprofits aligned with foundation themes; Grafton-area nonprofits for Grafton Fund,Mixed,Grant,rural economic development; conservation; healthy forests; streams; outdoor activities; historic places,"Explicit 2026 themes include rural economic development, conservation, healthy forests and streams, outdoor activities, and historic places.",not stated,Not stated,https://windham-foundation.org/grants,2026-06-09,RERC-FND-0560
Funding,Working Lands Enterprise Initiative,Working Lands Enterprise Board,Available,annual opportunities set by board,Vermont,,,,,,"Vermont farm, forest, food businesses; service providers; producer associations",Mixed,Grant,farm; forest; food; rural business; value-added products,"Supports rural working-land businesses that connect to agritourism, forest recreation, local products, and visitor-economy supply chains.","recent grant ranges include $10,000-$75,000 depending on category",None,https://workinglands.vermont.gov/,2026-06-09,RERC-FND-0656
Funding,Appalachian Regional Commission Area Development in Virginia,ARC with Virginia DHCD,Recurring,Annual ARC state strategy and project cycles,Virginia,,,,,,Local governments; nonprofits; regional bodies,Mixed,Grant,infrastructure; tourism; entrepreneurship; workforce,Targets many rural mountain communities where recreation is an economic diversification strategy.,Varies,Federal share varies by county distress,https://www.dhcd.virginia.gov/vaarc,2026-06-09,RERC-FND-0575
Funding,GO Virginia Regional and Statewide Grants,GO Virginia and Virginia DHCD,Open when checked,2026 calendar active; regional deadlines vary,Virginia,,,,,,"Regional councils, local governments, higher education, nonprofits, industry partners",Mixed,Grant,"regional economic development, workforce, site development, business growth","Can support outdoor industry clusters, workforce training, sites, and regional recreation-economy strategies.","Planning capped at $250,000 annually per region; implementation has no fixed max in manual",Match required by program rules,https://www.dhcd.virginia.gov/go-virginia-regional-materials,2026-06-09,RERC-FND-0578
Funding,Transportation Alternatives Program,VDOT,Recurring,Check with the program,Virginia,,,,,,"Local governments, transit agencies, school districts, and other eligible entities in Virginia",Mixed,Grant,Infrastructure; Recreation; Historic/Cultural,"Fund community-based non-motorized transportation projects including bicycle and pedestrian facilities, safe routes to school, and historic transportation structure preservation.",80% federal funding,"Yes, 20%",https://www.vdot.virginia.gov/doing-business/for-localities/local-assistance/transportation-alternatives/,2026-06-09,RERC-FND-0585
Funding,Virginia Brownfields Restoration and Economic Redevelopment Assistance Fund,VEDP and Virginia DEQ,Recurring,FY2026 materials posted; verify current round,Virginia,,,,,,Local governments; public authorities; eligible owners,Mixed,Loan,brownfields; site assessment; remediation; redevelopment,"Helps convert blighted sites into parks, trailheads, river access, or tourism businesses.",Varies,Varies,https://www.vedp.org/brownfields,2026-06-09,RERC-FND-0587
Funding,Land and Water Conservation Fund,Virginia DCR,Recurring,DCR grant cycles,Virginia,,,,,,Local governments; public park agencies,Mixed,Grant,parks; outdoor recreation; land acquisition; public access,Funds public recreation assets in small towns and rural destinations.,Varies,50 percent reimbursement,https://www.dcr.virginia.gov/recreational-planning/lwcf,2026-06-09,RERC-FND-0580
Funding,Recreational Trails Program,Virginia DCR,Cycle closed,"2026 cycle closed May 5, 2026; recurring",Virginia,,,,,,Localities; state agencies; nonprofits,Mixed,Grant,trails; trailheads; maintenance; access,Directly funds trail infrastructure that anchors rural recreation economies.,Varies,Typically 20 percent minimum,https://www.dcr.virginia.gov/recreational_planning/trailfnd,2026-06-09,RERC-FND-0583
Funding,Industrial Revitalization Fund,Virginia DHCD,Open when checked,"FY2027 round opened Jun. 1, 2026; due Jul. 31, 2026",Virginia,,,,,,Local governments; economic development authorities,Construction,Loan,vacant buildings; downtown reuse; mixed-use; tourism assets,"Reuses rural downtown buildings for visitor services, outfitters, markets, and lodging-adjacent uses.",Varies,Gap-financing structure; local leverage expected,https://www.dhcd.virginia.gov/irf,2026-06-09,RERC-FND-0579
Funding,Virginia Community Development Block Grant,Virginia DHCD,Recurring,Annual competitive and planning cycles,Virginia,,,,,,Non-entitlement local governments,Mixed,Grant,downtown; infrastructure; community facilities; planning,Can fund public infrastructure and community facilities needed for tourism gateways.,Varies by category,Varies by activity,https://www.dhcd.virginia.gov/cdbg,2026-06-09,RERC-FND-0588
Funding,Virginia Enterprise Zone Grants,Virginia DHCD,Recurring,"GY25 applications were due April 1, 2026; annual cycle",Virginia,,,,,,"Qualified zone investors, property owners, and job creators",Mixed,Rebate,"business investment, property rehab, job creation","Can lower private cost for lodging, outfitter, mixed-use, and visitor-service investment in distressed rural districts.","RPIG up to $100,000 or $200,000 per building; JCG up to $500-$800 per eligible job per year",Applicant investment required,https://www.dhcd.virginia.gov/vez,2026-06-09,RERC-FND-0589
Funding,Open Space Lands Preservation Trust Fund,Virginia Department of Conservation and Recreation,Recurring,Check with the program,Virginia,,,,,,Local governments and nonprofits in Virginia,Mixed,Grant,Recreation; Conservation,"Assist localities in acquiring open-space land for public benefit including parks, forests, and conservation areas.",See program,See program,https://www.dcr.virginia.gov/recreational-planning/grants,2026-06-09,RERC-FND-0582
Funding,Virginia Land Conservation Foundation,Virginia Department of Conservation and Recreation,Recurring,Check with the program,Virginia,,,,,,"State agencies, local governments, Indian Tribes, and nonprofit land trusts",Mixed,Grant,Recreation; Conservation,Provide matching grants for purchase of land or conservation easements to protect Virginia's natural resources.,See program,"Yes, 50%",https://www.dcr.virginia.gov/recreational-planning/grants,2026-06-09,RERC-FND-0590
Funding,Virginia Recreational Trails Program,Virginia Department of Conservation and Recreation,Recurring,Check with the program,Virginia,,,,,,"Local governments, nonprofits, and other government entities",Construction,Grant,Recreation; Conservation; Energy/Climate,"Fund development, acquisition, and maintenance of recreational trails for motorized and nonmotorized use across Virginia.",See program,"Yes, 20%",https://www.dcr.virginia.gov/recreational-planning/grants,2026-06-09,RERC-FND-0591
Funding,Virginia Trail Access Grants Program,Virginia Department of Conservation and Recreation,Recurring,Check with the program,Virginia,,,,,,"Local governments, nonprofits, and trail organizations in Virginia",Construction,Grant,Recreation; Conservation; Energy/Climate,Improve public access to Virginia's trail systems and support trail development and maintenance.,See program,See program,https://www.dcr.virginia.gov/recreational-planning/grants,2026-06-09,RERC-FND-0592
Funding,Forest Legacy Program,Virginia Department of Forestry,Recurring,Check with the program,Virginia,,,,,,Landowners with working forests at risk of conversion in Virginia,Mixed,Grant,Conservation,Protect environmentally important private forest lands from conversion to non-forest uses through conservation easements.,See program,"Yes, 25%",https://www.fs.usda.gov/managing-land/private-land/forest-legacy,2026-06-09,RERC-FND-0577
Funding,"Virginia Black, Indigenous, and People of Color Historic Preservation Grant",Virginia Department of Historic Resources,Recurring,Check with the program,Virginia,,,,,,"State/federally recognized Indian tribes, private nonprofits, and localities in Virginia",Mixed,Grant,Historic/Cultural,"Acquire, protect, and rehabilitate historic and archaeological sites associated with Black, Indigenous, and People of Color communities in Virginia.",$50K-$1M,Varies,https://www.dhr.virginia.gov/grants,2026-06-09,RERC-FND-0586
Funding,Virginia Wildlife Grant Program,Virginia Department of Wildlife Resources and Wildlife Foundation of Virginia,Cycle closed,2026 cycle closed February 1; annual style cycle likely,Virginia,,,,,,Virginia-based 501(c)(3) nonprofits and colleges or universities,Mixed,Grant,"outdoor access, boating, fishing, wildlife viewing, youth engagement",Funds direct outdoor participation programs that can build local recreation demand and stewardship.,"2026 pool $150,000; start-up $2,000-$5,000; growth $5,000-$10,000",Not stated,https://dwr.virginia.gov/virginia-wildlife-grant-program,2026-06-09,RERC-FND-0593
Funding,Preservation Trust Fund,Virginia Outdoors Foundation,Available,Next grant round announced June 2026; applications open June 17,Virginia,,,,,,"Local governments, VOF easement projects, eligible open-space partners",Mixed,Grant,"conservation, public access, open space, trails","Protects land for parks, preserves, river access, trails, and rural recreation assets.","Round pool varies; spring FY2026 was $2.1M; easement assistance up to $20,000",None,https://www.vof.org/protect/grants/ptf,2026-06-09,RERC-FND-0657
Funding,Tobacco Region Revitalization Commission Grants,Virginia Tobacco Region Revitalization Commission,Recurring,Spring and fall funding rounds,Virginia,,,,,,Localities; public bodies; nonprofits; regional partners,Mixed,Grant,economic development; tourism; downtown; outdoor recreation,"Funds rural diversification projects, including visitor economy and outdoor recreation assets.",Varies,Varies,https://www.revitalizeva.org/,2026-06-09,RERC-FND-0584
Funding,DMO Marketing Program,Virginia Tourism Corporation,Recurring,Annual VTC grant rounds,Virginia,,,,,,Destination marketing organizations,Mixed,Grant,destination marketing; regional campaigns; visitor economy,Supports regional recreation-economy branding and trip-building.,Varies,Match required,https://www.vatc.org/grants,2026-06-09,RERC-FND-0576
Funding,CERB Prospective Development,Community Economic Revitalization Board,Open when checked,Board cycles ongoing,Washington,,,,,,Local governments; tribes; ports; special districts,Mixed,Loan,economic infrastructure; planning; site readiness,Supports infrastructure that enables recreation-related business growth.,"Planning up to about $50,000; construction varies",Match required; grant share limited by program,https://www.commerce.wa.gov/cerb/cerb-pd,2026-06-09,RERC-FND-0595
Funding,Innovia Foundation Community Grants,Innovia Foundation,Recurring,2026 deadline was February 6; annual cycle,Washington,,,,,,Nonprofits serving Eastern Washington and North Idaho,Mixed,Grant,"community vitality, belonging, economic opportunity, quality of life","Can fund local placemaking, community events, nonprofit capacity, and quality-of-life work in rural recreation gateways.",More than $1M awarded annually; typical local grant amounts vary,Not stated,https://innovia.org/news/innovia-foundation-opens-2026-community-grants-round,2026-06-09,RERC-FND-0598
Funding,Community Development Block Grant General Purpose Grants,Washington Department of Commerce,Open when checked,Annual Commerce cycle,Washington,,,,,,"Rural cities, towns, and counties",Mixed,Grant,public facilities; infrastructure; community development,Can fund basic infrastructure behind rural tourism districts and community facilities.,"Up to about $2,000,000",Varies,https://www.commerce.wa.gov/cdbg,2026-06-09,RERC-FND-0596
Funding,Community Economic Revitalization Board Prospective Development Program,"Washington Department of Commerce, CERB",Recurring,The program follows recurring board cycles.,Washington,,,,,,Local governments and federally recognized tribes,Mixed,Loan,"rural infrastructure, business growth, site readiness","Funds public infrastructure that can unlock recreation businesses, waterfront districts, ports, trail towns, and rural visitor services.",Loans up to $3M; grants up to 25% of total award; 1%-3% interest,Grant share determined through underwriting,https://www.commerce.wa.gov/cerb/cerb-pd,2026-07-13,RERC-FND-0597
Funding,Oversight Remedial Action Grants and Loans,Washington Department of Ecology,Recurring,"2027-2029 applications ran February 17-March 17, 2026",Washington,,,,,,Local governments conducting cleanup under order or decree,Mixed,Loan,"brownfields, cleanup, redevelopment","Helps convert contaminated waterfront, mill, or industrial sites into safe recreation and tourism redevelopment assets.",Varies by remedial action funding guidelines,Not stated in search result,https://ecology.wa.gov/About-us/Payments-contracts-grants/Grants-loans/Find-a-grant-or-loan/Oversight-remedial-action-grants-loans,2026-06-09,RERC-FND-0600
Funding,Aquatic Lands Enhancement Account,Washington Recreation and Conservation Office,Recurring,RCO biennial cycle,Washington,,,,,,Local governments; tribes; state agencies,Mixed,Grant,waterfront access; habitat; water recreation,"Useful for rural river, lake, and waterfront recreation access projects.",Varies,Match required; varies,https://rco.wa.gov/grant/aquatic-lands-enhancement-account,2026-06-09,RERC-FND-0594
Funding,Nonhighway and Off-Road Vehicle Activities Program,Washington Recreation and Conservation Office,Recurring,2026 RCO cycle; verify category schedule,Washington,,,,,,Local governments; tribes; nonprofits; agencies,Mixed,Grant,backcountry trails; ORV access; education; maintenance,Supports motorized and backcountry recreation infrastructure in rural gateway areas.,Varies,Varies by category,https://rco.wa.gov/grant/nonhighway-and-off-road-vehicle-activities,2026-06-09,RERC-FND-0599
Funding,WWRP Recreation Grants,Washington Recreation and Conservation Office,Recurring,"2026 applications due Apr. 30, 2026; biennial",Washington,,,,,,Local governments; tribes; state agencies; nonprofits for some categories,Mixed,Grant,local parks; trails; water access; recreation facilities,Core state source for parks and trails in recreation-economy communities.,Varies by category,Usually match required; varies by category,https://rco.wa.gov/grant/washington-wildlife-and-recreation-program-recreation,2026-06-09,RERC-FND-0601
